IR24	A50	MeanDecreaseAccuracy	MeanDecreaseGini	Class
Flammeovirgaceae	0	0	0	0	Cytophagia
Family_XI	0	0	0	0	Cyanobacteria
Patulibacteraceae	0	0	0	0	Actinobacteria
Nocardiopsaceae	0	0	0	0	Actinobacteria
Nitriliruptoraceae	0	0	0	0	Actinobacteria
Elusimicrobiaceae	0	0	0	0	Elusimicrobia
Cryptosporangiaceae	0	0	0	0	Actinobacteria
Clostridiaceae_3	0	0	0	0	Clostridia
Sporolactobacillaceae	0	0	0	0	Bacilli
Family_VIII	0	0	0	0	Cyanobacteria
Family_III	0	0	0	0	Cyanobacteria
Clostridiaceae_4	-0.33	0.51	0.02	0.06	Clostridia
Chloroplast	1	-0.25	0.05	0.02	Chloroplast
Gracilibacteraceae	1.01	-0.68	0.06	0.06	Clostridia
Streptomycetaceae	-0.11	-1	0.08	0.04	Actinobacteria
Bradyrhizobiaceae	-0.04	-0.06	0.09	0.05	Alphaproteobacteria
Nocardioidaceae	-0.46	1.4	0.12	0.04	Actinobacteria
Bdellovibrionaceae	-0.17	0.09	0.21	0.06	Deltaproteobacteria
Myxococcaceae	-0.23	0.74	0.23	0.04	Deltaproteobacteria
Anaerolineaceae	1.6	-1.47	0.27	0.13	Anaerolineae
Rhodobacteraceae	1.07	-0.65	0.28	0.11	Alphaproteobacteria
Cryomorphaceae	1.38	-0.2	0.31	0.06	Flavobacteriia
Gallionellaceae	1.37	-0.48	0.34	0.12	Betaproteobacteria
Coriobacteriaceae	0.52	0.61	0.38	0.05	Actinobacteria
Hyphomicrobiaceae	0.49	-0.5	0.44	0.08	Alphaproteobacteria
Rhodothermaceae	1	-0.37	0.47	0.06	Sphingobacteriia
Hyphomonadaceae	0.84	0.32	0.52	0.11	Alphaproteobacteria
Promicromonosporaceae	0.49	0.47	0.53	0.06	Actinobacteria
Sinobacteraceae	-0.91	1.76	0.58	0.29	Gammaproteobacteria
Desulfuromonadaceae	0.66	0.59	0.62	0.05	Deltaproteobacteria
Spirochaetaceae	0	0.96	0.63	0.1	Spirochaetia
Leptotrichiaceae	1.12	-0.09	0.63	0.07	Fusobacteriia
Mycobacteriaceae	1.7	-0.43	0.66	0.08	Actinobacteria
Clostridiales_Incertae_Sedis_XIII	1.72	-0.05	0.66	0.08	Clostridia
Rhodobiaceae	0.54	0.85	0.71	0.05	Alphaproteobacteria
Lachnospiraceae	0.95	0.79	0.79	0.06	Clostridia
Burkholderiaceae	0.83	0	0.82	0.04	Betaproteobacteria
Oligoflexaceae	0.93	0.58	0.86	0.07	Oligoflexia
Holophagaceae	1.4	-0.23	0.96	0.07	Holophagae
Caldilineaceae	1	0	1	0.01	Caldilineae
Peptostreptococcaceae	1	1	1	0.03	Clostridia
Sandaracinaceae	1	0	1	0.01	Deltaproteobacteria
Nitrosomonadaceae	1.67	-0.52	1	0.04	Betaproteobacteria
Syntrophorhabdaceae	1	0	1	0.03	Deltaproteobacteria
Rhodocyclaceae	2.12	-0.29	1.02	0.16	Betaproteobacteria
Saprospiraceae	1.66	0	1.1	0.02	Sphingobacteriia
Syntrophaceae	0.51	1.41	1.14	0.09	Deltaproteobacteria
Deinococcaceae	0.53	0.4	1.14	0.13	Deinococci
Propionibacteriaceae	1.55	0	1.18	0.03	Actinobacteria
Desulfomicrobiaceae	1.7	0.43	1.21	0.1	Deltaproteobacteria
Thermomonosporaceae	1.38	0.98	1.22	0.06	Actinobacteria
Micrococcaceae	1.13	0.29	1.23	0.2	Actinobacteria
Sphingomonadaceae	1.34	0.62	1.24	0.07	Alphaproteobacteria
Cystobacteraceae	0.49	1.77	1.42	0.16	Deltaproteobacteria
Veillonellaceae	1.57	0.68	1.42	0.13	Negativicutes
Geodermatophilaceae	2.82	-0.34	1.5	0.09	Actinobacteria
Clostridiaceae_1	2.13	0.19	1.53	0.05	Clostridia
Microbacteriaceae	1.99	-0.56	1.56	0.06	Actinobacteria
Moraxellaceae	2.06	1.22	1.57	0.32	Gammaproteobacteria
Methylococcaceae	1.73	0.4	1.6	0.06	Gammaproteobacteria
Gemmatimonadaceae	2.49	-0.37	1.64	0.09	Gemmatimonadetes
Desulfobulbaceae	1.94	1.17	1.68	0.07	Deltaproteobacteria
Nocardiaceae	0.56	2.3	1.68	0.17	Actinobacteria
Eubacteriaceae	1.55	1.72	1.68	0.07	Clostridia
Erysipelotrichaceae	0.4	1.42	1.72	0.03	Erysipelotrichia
Porphyromonadaceae	0.68	2.57	1.74	0.15	Bacteroidia
Family_I	2.16	0.95	1.75	0.04	Cyanobacteria
Phyllobacteriaceae	1.41	1.59	1.77	0.06	Alphaproteobacteria
Verrucomicrobiaceae	0.71	1.49	1.81	0.09	Verrucomicrobiae
Alicyclobacillaceae	2.43	0.31	1.88	0.34	Bacilli
Acidimicrobineae_incertae_sedis	1	1.61	1.88	0.06	Actinobacteria
Demequinaceae	1.3	1.78	1.88	0.07	Actinobacteria
Syntrophobacteraceae	2.58	0.86	1.89	0.3	Deltaproteobacteria
Sphingobacteriaceae	2.15	1.1	1.91	0.1	Sphingobacteriia
Geobacteraceae	2.11	1.29	1.95	0.13	Deltaproteobacteria
Bacteriovoracaceae	1.84	1.85	2	0.22	Deltaproteobacteria
