#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Insolitispirillum	Insolitispirillum_peregrinum_subsp._peregrinum
OTU_3237	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3222	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Geobacillus	Geobacillus_thermodenitrificans_subsp._thermodenitrificans
OTU_3243	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Rubrivirga	Rubrivirga_marina
OTU_3233	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3234	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	Unclassified
OTU_3251	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans
OTU_3247	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Unclassified
OTU_3246	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Rubrivirga	Rubrivirga_marina
OTU_3248	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3231	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus	Unclassified
OTU_3235	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3252	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3244	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter	Melioribacter_roseus
OTU_3236	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassified	Unclassified
OTU_3239	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3254	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unclassified
OTU_3258	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Chitinilyticum	Chitinilyticum_aquatile
OTU_3249	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3250	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Unclassified
OTU_3265	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_thiooxidans
OTU_3267	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified	Unclassified
OTU_3268	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_3260	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter	Melioribacter_roseus
OTU_3255	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unclassified
OTU_3257	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Unclassified	Unclassified
OTU_3274	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified
OTU_3256	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unclassified
OTU_3270	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Pyxidicoccus	Pyxidicoccus_fallax
OTU_3264	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unclassified	Unclassified	Gp17	Unclassified
OTU_3272	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	Unclassified
OTU_3261	Bacteria	Chloroflexi	Chloroflexia	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3259	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Unclassified
OTU_3284	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides_chartae
OTU_3262	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Unclassified	Unclassified
OTU_3277	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unclassified	Unclassified
OTU_3271	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Unclassified
OTU_3263	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified
OTU_3266	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Unclassified
OTU_3286	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3276	Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Gracilibacter	Gracilibacter_thermotolerans
OTU_3285	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces_lanuginosus
