A50HnCp7r1	A50HnCp7r2	A50HnCp7r3	A50HnCp7r4	A50HnCp7r5	A50HnCp7r6	A50HnCp7r7	A50HnCp7r8	A50HnCp7r9	A50HnCp7r10	A50HnCp7r11	A50HnCp7r12	A50HnCp7r13	A50HnCp7r14	A50HnCp7r15	A50HnSz7r1	A50HnSz7r2	A50HnSz7r3	A50HnSz7r4	A50HnSz7r5	A50HnSz7r6	A50HnSz7r7	A50HnSz7r8	A50HnSz7r9	A50HnSz7r10	A50HnSz7r11	A50HnSz7r12	A50HnSz7r13	A50HnSz7r14	A50HnSz7r15
Methylocystaceae	2.15	3.68	1.42	0.212	0.985	0.533	0.344	0.912	0.259	0.35	0.349	1.72	0.173	0.417	0.754	2.64	2.49	1.36	3.1	2.48	1.06	0.677	2.47	0.537	1.27	0.469	0.213	0.52	2.45	0.703
Streptosporangiaceae	0.0328	0.0729	0.0425	0.0337	0.303	0.0191	0.0505	0.279	0.156	0.0162	0.0127	0.0197	0.0917	0.0166	0.52	0.00227	0.0146	0.0137	0.00506	0.00633	0.00222	0	0.00335	0.00493	0.0151	0.0034	0.00795	0.00372	0.0207	0.00649
Methylophilaceae	0.0784	0.0651	0.0943	0.0752	0.109	0.067	0.092	0.0469	0.042	0.0486	0.0579	0.124	0.0162	0.145	0.0199	0.0636	0.163	0.101	0.306	0.12	0.0889	0.141	0.198	0.037	0.162	0.173	0.163	0.0595	0.145	0.48
Micrococcaceae	0.0967	0.115	0.0962	0.184	0.134	0.122	0.0742	0.176	0.1	0.166	0.0887	0.153	0.138	0.147	0.132	0.0727	0.114	0.096	0.109	0.0908	0.1	0.0569	0.134	0.239	0.188	0.153	0.115	0.182	0.111	0.128
Cellulomonadaceae	0.0438	0.0807	0.0499	0.0812	0.154	0.134	0.0327	0.188	0.0631	0.164	0.0634	0.142	0.165	0.12	0.0743	0.0704	0.204	0.101	0.142	0.112	0.0534	0.0569	0.114	0.145	0.192	0.09	0.272	0.115	0.0461	0.134
Labilitrichaceae	0.0073	0.0156	0.0074	0.00594	0.0104	0.00478	0.00297	0.0147	0.0163	0.00405	0.0109	0.00758	0.0027	0.00622	0.00725	0.0159	0.032	0.0434	0.0658	0.0106	0.00889	0.00898	0.0369	0.0246	0.0281	0.017	0.0139	0.00372	0.0253	0.0173
Bacteroidaceae	0.00182	0	0	0	0.00626	0.00478	0	0.00293	0.00234	0.00202	0	0.00758	0	0.00415	0.00181	0.0136	0	0	0	0	0.00445	0	0.00335	0.00493	0.00216	0	0	0	0.0023	0
Bacillales_Incertae_Sedis_XII	2.22	1.08	0.847	1.39	1.78	1.11	0.427	1.18	2.68	4.82	0.822	1.8	4.29	1.13	0.777	0.411	0.501	0.281	0.906	0.574	0.249	1.89	0.215	0.651	0.584	0.372	0.507	0.32	0.504	0.329
Chromatiaceae	0.0639	0.0364	0.107	0.111	0.0814	0.0765	0.098	0.147	0.131	0.121	0.138	0.247	0.156	0.129	0.0779	0.152	0.099	0.0503	0.0835	0.0992	0.0245	0.353	0.0805	0.232	0.192	0.409	0.38	0.0967	0.0553	0.0995
Clostridiales_Incertae_Sedis_XVIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227	0.00291	0.00229	0.0101	0.00211	0.00222	0	0.00671	0	0.00432	0.0034	0	0	0	0
Nitrosomonadaceae	0.00182	0.0026	0.00185	0.00198	0	0	0.00297	0	0.00234	0.00202	0.00181	0.00152	0	0	0	0	0.00291	0.00457	0	0	0	0	0	0	0	0	0.00199	0	0	0
Iamiaceae	0.0274	0.0417	0.0203	0.0178	0.0355	0.0191	0.0208	0.0762	0.021	0.0121	0.00905	0.0409	0.0243	0.0145	0.0453	0.0341	0.0291	0.0754	0.0481	0.0612	0.0267	0.024	0.0704	0.069	0.0994	0.0306	0.0219	0.052	0.0438	0.0692
Saprospiraceae	0.00547	0.0104	0.0148	0	0.00835	0.0263	0.0119	0.00293	0.00467	0.0344	0.0109	0.00455	0.0432	0.0124	0.0199	0.00909	0.0757	0.0114	0.0076	0.0211	0.00667	0.018	0.00335	0.00986	0.0195	0.0119	0.0139	0.0186	0.0138	0.00216
Holophagaceae	0.162	0.2	0.107	0.152	0.255	0.237	0.172	0.179	0.213	0.085	0.172	0.144	0.151	0.176	0.0997	0.0409	0.0378	0.064	0.076	0.0612	0.0867	0.018	0.0268	0.0739	0.0821	0.0408	0.0318	0.0706	0.0714	0.0671
Rhodobiaceae	0.0073	0.0156	0.0166	0.0178	0.0104	0.00239	0.00891	0.0088	0.00934	0.00202	0.00905	0.0106	0.0162	0.00622	0.0145	0.025	0.0553	0.0343	0.0481	0.0591	0.0222	0.015	0.0134	0.0764	0.0757	0.0153	0.0278	0.0558	0.0253	0.0151
Cytophagaceae	0	0.0026	0	0.00198	0.00209	0.00718	0.00297	0.00587	0.00234	0.00202	0.00362	0.00303	0	0.0104	0	0.0409	0.00291	0.00686	0.00253	0.00422	0	0.00299	0.00671	0	0	0.00849	0.00199	0.00372	0.0023	0.00216
Rhizobiales_incertae_sedis	0.0803	0.245	0.117	0.0752	0.159	0.251	0.113	0.085	0.0514	0.146	0.114	0.0606	0.0944	0.131	0.0888	0.0704	0.128	0.101	0.0785	0.0802	0.0467	0.132	0.107	0.069	0.106	0.0577	0.201	0.0632	0.0829	0.0498
Clostridiales_Incertae_Sedis_XIII	0.0073	0.00781	0.00185	0.00396	0.0125	0.012	0.00297	0.0147	0.00701	0.0081	0.0199	0.0091	0.0027	0.0166	0.00544	0.0318	0.0524	0.0183	0.0278	0.0464	0.0245	0.012	0.0201	0.0173	0.0389	0.0034	0.0159	0.0335	0.0115	0.0346
Hyphomonadaceae	0.0274	0.0391	0.0203	0.0119	0.025	0.0287	0.0356	0.0205	0.00467	0.0344	0.0109	0.0091	0.0216	0.0166	0.0163	0.0227	0.0146	0.0297	0.0304	0.0253	0.0222	0.00299	0.00671	0.0444	0.0259	0.0102	0.0219	0.0409	0.0184	0.026
Sneathiellaceae	0.0128	0.0182	0.0129	0.0139	0.0188	0.0191	0.0148	0.0117	0.0163	0.0081	0.0145	0.0121	0.00809	0.0104	0.0145	0.025	0.0233	0.0114	0.0278	0.0338	0.0111	0.00599	0.0235	0.0123	0.0389	0.0238	0.0258	0.00372	0.0391	0.026
Anaerolineaceae	0.00182	0.00521	0.00925	0.00396	0.00209	0.00239	0.00297	0	0	0	0.0145	0.0243	0	0	0.00544	0.00227	0	0.00229	0	0	0	0	0	0.00246	0	0	0.00795	0	0	0
Alicyclobacillaceae	0.0292	0.0104	0.0111	0.0119	0.0104	0.00478	0.00594	0.0176	0.0257	0.0142	0.0471	0.0258	0.0189	0.0145	0.0308	0.0273	0.064	0.0206	0.0532	0.038	0.02	0	0.0268	0.0468	0.0605	0.0221	0.0199	0.0297	0.0253	0.00865
Acidimicrobineae_incertae_sedis	0.00912	0.0286	0.0111	0	0.00626	0.0239	0.00891	0	0.00234	0.00607	0.00724	0.00303	0.00809	0.0124	0.00725	0.00681	0.00582	0.00229	0	0.0106	0.00222	0.00599	0.00671	0.00246	0.00432	0.00679	0.0179	0.0149	0.0115	0.0108
Leptospiraceae	0.21	0.213	0.381	0.364	0.244	0.136	0.315	0.413	0.208	0.115	0.367	0.189	0.224	0.172	0.261	0.134	0.178	0.112	0.0911	0.188	0.0956	0.0449	0.101	0.116	0.132	0.0917	0.211	0.126	0.138	0.162
Paenibacillaceae_2	0.00182	0	0.00185	0.00792	0.00417	0	0.00594	0.00587	0.00467	0	0.00181	0.00455	0.0135	0.00207	0.00181	0.00227	0.0233	0.00686	0.0203	0.0675	0.0178	0	0.0101	0.0591	0.0367	0.0221	0.00795	0.0409	0.0207	0.00865
Xanthobacteraceae	0.0073	0.0208	0.00925	0.00594	0.00209	0.0144	0.0119	0.0088	0.014	0.0142	0.00724	0	0.00539	0.029	0	0.00681	0.0262	0.0251	0.0152	0.0148	0.00667	0.024	0.0168	0.0394	0.0346	0.00509	0.0318	0.00744	0.00921	0.00433
Propionibacteriaceae	0.00182	0	0	0.00198	0.00209	0	0	0.00293	0	0.00202	0.00181	0.00152	0.0027	0	0	0	0	0	0	0	0	0	0.00335	0.00246	0	0	0	0	0	0
Aurantimonadaceae	0	0.0026	0.00185	0.00396	0.00417	0.00239	0	0	0.00701	0.00202	0.00362	0.00455	0.00539	0.0124	0.00181	0.00454	0	0	0	0	0.00222	0.0269	0	0.00493	0.0173	0	0.00994	0	0	0.00216
Alcaligenaceae	0	0.0104	0.0111	0.00396	0	0.00239	0.00297	0.0176	0	0	0	0	0.0027	0.00207	0.00181	0	0.00582	0	0.00253	0.00422	0	0.00299	0.00335	0.00246	0.00432	0.0034	0.00397	0	0	0.0108
Thermoactinomycetaceae_2	0.00182	0	0.00555	0	0.00209	0	0	0.00587	0	0	0	0	0	0.00415	0.0127	0	0	0	0.00253	0	0.00222	0.00299	0	0.0173	0.00865	0	0	0	0.053	0
Nocardiaceae	0	0	0.0074	0.00198	0	0.00239	0.00297	0.00587	0.00701	0	0	0	0.0027	0.00207	0.00544	0.00454	0.00291	0.00457	0.00506	0.0127	0.0311	0.00599	0	0.00246	0.00432	0.00849	0.00397	0	0	0.00216
Kineosporiaceae	0.0255	0.00781	0.0388	0.0356	0.00626	0.0144	0.00594	0.0264	0.0117	0.0121	0.0398	0	0.0189	0.0124	0.00725	0.0136	0.0116	0.0297	0.0177	0.0232	0.0311	0.0838	0.0134	0.032	0.0454	0.0917	0.127	0.0409	0.0115	0.0216
Heliobacteriaceae	0.00365	0	0	0	0.00209	0.00478	0	0.00587	0.00234	0	0	0	0	0	0	0	0	0	0.00253	0	0.00222	0	0	0	0	0.00509	0.00199	0	0	0.00216
Oligoflexaceae	0.142	0.258	0.205	0.154	0.194	0.498	0.365	0.161	0.257	0.0425	0.185	0.0682	0.132	0.102	0.243	0.0182	0.00873	0.0114	0.0076	0.00422	0.0222	0.00299	0.0168	0.00493	0.00432	0.00509	0.0139	0.0112	0.00921	0.00433
Deinococcaceae	0.031	0.0286	0.0129	0.0099	0.00835	0.00718	0.00594	0.0088	0.00934	0.0182	0.0145	0.0455	0.062	0.0228	0.00906	0.0182	0.00873	0.00686	0.0076	0.00633	0.00222	0.018	0.00671	0.0296	0.00648	0.0119	0.0318	0.00372	0.0023	0.0151
Herpetosiphonaceae	0	0.0026	0.0111	0.0158	0.00209	0.00478	0	0	0	0.00405	0.0145	0.00606	0.0216	0.0643	0.0145	0.0136	0.0815	0.0663	0.0152	0.0359	0.0156	0.156	0.0402	0.0419	0.0238	0.0526	0.324	0.0223	0.0368	0.0757
Chloroplast	0.0073	0.0208	0	0	0.00209	0.00718	0.00297	0	0	0.0101	0.00724	0	0.00539	0.0269	0.00362	0.00227	0	0	0	0.00844	0	0	0.00335	0	0	0	0	0	0.00461	0.00216
Clostridiaceae_4	0.00365	0.00781	0.00185	0.00594	0.0146	0.0191	0.00891	0.0088	0	0	0.00905	0.00152	0.0027	0.00829	0.0163	0	0	0.00457	0	0.00211	0	0	0	0	0.00216	0	0	0	0	0
Family_I	0	0	0	0	0	0	0	0	0	0	0	0.00152	0	0	0	0.00227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryomorphaceae	0.00365	0.013	0.0037	0.00396	0.00417	0.0191	0.00297	0.00293	0	0.00202	0.00181	0.00303	0.0027	0.00415	0.00544	0	0.00873	0.00914	0	0.0106	0.00222	0	0.00671	0.00986	0.00865	0.00849	0.00397	0.00372	0.0023	0.00216
Syntrophorhabdaceae	0.0164	0.013	0.00185	0.00594	0.0188	0	0.00594	0.0176	0.0234	0.0101	0.00905	0.0091	0	0.00207	0.0127	0.00454	0.00291	0.00457	0.0152	0.00422	0.00667	0.024	0.0101	0.00493	0.0281	0.00509	0.00397	0.00744	0.0115	0.00865
Demequinaceae	0.00912	0.0234	0.0166	0.00396	0.0104	0.0574	0	0.00587	0	0.0627	0.0145	0.00303	0.0216	0.0228	0.0145	0.00681	0.0204	0.0274	0.0076	0.00844	0	0.0359	0.00335	0.00739	0.0173	0.00509	0.00795	0.00744	0.023	0.0498
Promicromonosporaceae	0.0365	0.00521	0	0.0515	0.00626	0.0335	0.0772	0.0411	0	0.0081	0	0.0227	0.00539	0.00415	0	0.0136	0.0291	0.00229	0.00506	0.00422	0	0	0.00335	0.0148	0.00432	0.0951	0.00199	0.00372	0	0.00433
Marinilabiliaceae	0.0766	0.0573	0.0684	0.0574	0.073	0.0789	0.0683	0.0528	0.0817	0.0627	0.141	0.0349	0.089	0.114	0.0707	0.0454	0.0262	0.0389	0.0329	0.0359	0.0823	0.0509	0.0402	0.0567	0.0411	0.0968	0.0258	0.0669	0.0368	0.0216
Rubrobacteraceae	0.00547	0.0104	0.0074	0.00594	0.00835	0.012	0	0.00293	0.00467	0.00607	0.0109	0.00758	0.00539	0.0207	0.00906	0	0.00582	0.00229	0	0	0.00222	0	0.00335	0.00246	0	0.0017	0.00199	0	0.0023	0
Family_V	0.00182	0.0156	0.00185	0.00198	0.00209	0	0	0	0	0.00607	0	0.00152	0.00809	0.0104	0.00362	0	0	0	0	0	0	0	0	0	0.00648	0	0.00199	0.00372	0	0
Shewanellaceae	0.00365	0.0026	0.0037	0	0.00417	0	0	0	0.00701	0	0.00181	0.00303	0	0.029	0.00181	0.00454	0.00582	0.00686	0.0076	0.00422	0.0156	0	0.0168	0.0246	0.00648	0.0543	0.0397	0.0149	0.0207	0.013
Moraxellaceae	0.00547	0	0.00185	0	0.00626	0.00239	0	0	0	0.00405	0.00181	0	0.00539	0	0	0.0136	0	0.00686	0.0101	0.00211	0.00445	0.0269	0.00671	0.00493	0.00216	0.0017	0.00596	0.00372	0.00461	0.00216
Campylobacteraceae	0	0	0	0	0	0	0	0	0.00234	0	0	0	0	0	0	0.00227	0.00873	0.00686	0	0.0274	0	0.00898	0.00335	0.0173	0.00865	0	0.00199	0.0483	0.00691	0.0151
Eubacteriaceae	0.00182	0	0.00185	0	0	0.0239	0	0	0	0	0.00362	0	0	0	0.00362	0.00227	0.00291	0.0114	0	0	0.00889	0.00299	0	0	0	0.0017	0	0	0	0
Hydrogenophilaceae	0.00182	0.00521	0.00185	0.00198	0	0.00239	0	0.00587	0.00234	0.00202	0.00181	0.00303	0.0027	0.00207	0	0.0159	0.00582	0.00914	0.00506	0.0127	0.00445	0.00299	0.00335	0.0246	0.0259	0.017	0.0159	0.00744	0.00691	0.0108
Erysipelotrichaceae	0.00547	0.0026	0.00555	0.0099	0.0355	0	0.00297	0.00293	0.00934	0.00405	0.0109	0.153	0.00809	0.0311	0.0109	0.0182	0	0.0183	0.0456	0.0443	0.0333	0.00299	0.0101	0.111	0.0281	0.00509	0.0119	0.00744	0.0184	0.0173
Desulfomicrobiaceae	0.0109	0.0234	0.0111	0	0.0146	0.0311	0.0148	0	0.00467	0.00202	0.0163	0.0167	0.00809	0.00829	0.00725	0.00227	0.00873	0	0	0.00633	0	0	0	0.00739	0.00432	0.0034	0.00199	0.00372	0	0
Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681	0	0.00914	0.00506	0.00633	0.00222	0.00299	0	0.00493	0.00432	0.0034	0.00795	0	0.0023	0.00865
Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227	0.00873	0.0137	0.00506	0.00633	0.0156	0.015	0.00335	0.00986	0.013	0.0034	0.00596	0.0186	0	0.0173
Leptotrichiaceae	0.0675	0	0.074	0.0099	0.00835	0.0167	0.0267	0.0264	0.0187	0.0182	0.0416	0.00152	0.0108	0.0124	0.0272	0.0613	0.032	0.0343	0.0608	0.0295	0.0267	0.00299	0.0268	0.0813	0.136	0.0204	0.0139	0.0558	0.0507	0.0649
Thermaceae	0.0255	0.102	0.0185	0.0238	0.0104	0.0383	0.0416	0	0.014	0.0101	0.0109	0.0364	0.0108	0.0663	0.111	0	0	0	0	0	0.00222	0.00299	0.00335	0.00246	0	0.00509	0.00199	0	0.0023	0.00216
