IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Rhodobacteraceae	0.052	0.49	0.471	0.743	0.918	0.248	0.308	0.517	0.792	0.169	0.673	0.773	0.502	0.343	0.834	0.0691	0.13	0.0716	0.122	0.0575	0.155	0.0938	0.365	0.122	0.253	0.219	0.243	0.137	0.377	0.0552	0.36	0.141
Nitrospiraceae	0.561	0.172	0.179	0.375	0.152	0.377	0.235	0.322	0.21	0.34	0.507	0.635	0.21	0.274	0.335	0.1	0.21	0.195	0.2	0.092	0.201	0.163	0.342	0.131	0.271	0.208	0.12	0.217	0.205	0.218	0.141	0.294
Methylococcaceae	0.437	0.262	0.253	0.65	0.447	0.288	0.32	0.322	0.156	0.181	0.346	0.415	0.248	0.303	0.136	0.677	0.591	0.445	1.13	2.29	0.317	1.19	0.453	0.421	0.994	0.339	0.295	1.99	0.887	1.5	0.549	0.306
Nocardioidaceae	0.52	0.322	0.351	0.305	0.756	0.387	0.296	0.215	0.326	0.367	0.232	0.35	0.781	0.288	0.372	0.529	0.391	0.301	0.494	0.253	0.847	0.385	0.77	0.464	0.721	0.645	0.636	0.471	0.715	0.472	0.248	0.279
Micromonosporaceae	1.81	2.08	1.98	5.52	4.45	3.65	1.78	2.5	4.49	1.8	2.69	2.84	2.65	3.18	5.48	1.11	2.71	0.786	3.09	1.66	3.21	1.81	3.99	1.8	3.74	1.32	2.16	2.77	2.37	0.684	3.08	2.93
Enterobacteriaceae	0.632	0.858	0.596	0.222	0.618	0.539	0.102	0.21	0.963	1.15	0.101	0.254	0.499	0.637	0.0271	4.17	1.97	1.32	0.18	0.452	1.25	0.375	0.522	10	0.299	1.21	0.958	2.98	0.19	7.47	0.0515	0.729
Spirochaetaceae	0.754	0.499	0.356	0.605	0.282	0.256	0.358	0.433	0.429	0.367	0.403	0.569	0.36	0.48	0.512	0.293	0.462	0.361	0.466	0.267	0.615	0.299	0.84	0.282	1.02	0.572	0.536	0.314	0.442	0.356	0.757	0.937
Caulobacteraceae	0.262	0.19	0.189	0.245	0.726	0.12	0.293	0.297	0.168	0.11	0.157	0.22	0.231	0.268	0.275	0.396	0.177	0.106	0.474	0.141	0.322	0.432	0.244	0.202	0.366	0.381	0.576	0.354	0.427	0.236	0.172	0.0827
Burkholderiales_incertae_sedis	0.526	3.63	3.64	4.78	3.3	4.54	4.06	2.74	3.5	3.69	3.62	3.94	4.21	3.81	3.72	5.52	5.95	6.62	10.8	5.73	9.14	9.61	11.3	3.61	12.8	8.15	8.56	4.85	6.31	4.17	13	11.8
Cystobacteraceae	11.8	6.44	7.75	5.61	4.85	7.14	7.51	10.3	3.55	7.42	8.11	9.24	5.99	6.95	6.39	6.37	7.63	5.2	5.84	7.04	3.79	4.55	4.15	8.72	4.3	6.21	5.77	5.07	5.78	7.05	7.31	9.78
