IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Mycobacteriaceae	0.16	0.0412	0.0106	0.0994	0.00271	0.0113	0.0808	0.0125	0.0204	0.0406	0.0569	0.00999	0.0163	0.0873	0.00776	0.031	0.0448	0.0222	0.038	0.0173	0.0626	0.079	0.0492	0.0346	0.0695	0.0473	0.0466	0.0262	0.119	0.0521	0.0191	0.0337
Erythrobacteraceae	0.0212	0.0377	0.0319	0.0889	0.0786	0.0761	0.162	0.101	0.0661	0.0473	0.324	0.118	0.0614	0.0495	0.0969	0.0143	0.0353	0.0519	0.03	0.0144	0.0184	0.00987	0.0573	0.04	0.0927	0.0273	0.0737	0.0322	0.0467	0.0184	0.0343	0.00612
Thermoactinomycetaceae_1	0.00771	0.00343	0.00426	0.00212	0	0	0.00305	0.0249	0.00509	0.00338	0.00154	0.00399	0.00181	0.00582	0.00388	0.0119	0.00236	0.00494	0.004	0.00288	0	0.00247	0.00614	0.00364	0.0116	0.00546	0.00194	0.00805	0.00359	0.00307	0	0
Bradyrhizobiaceae	1.05	1.06	0.898	0.954	0.78	0.738	1.62	0.987	0.872	0.688	2.13	1.31	0.905	1.35	1.15	1.25	0.452	0.215	0.619	0.627	0.317	0.916	0.533	0.371	0.343	1.21	0.398	0.56	0.909	0.598	0.654	0.187
Sandaracinaceae	0.0116	0.00515	0.0128	0.019	0.00813	0.0178	0.0229	0.00779	0.0187	0.022	0.0169	0.012	0.0145	0.0116	0.0252	0.0119	0.04	0.0716	0.052	0.0374	0.0405	0.0271	0.0512	0.0564	0.0603	0.0364	0.0543	0.0745	0.0395	0.0582	0.0782	0.049
Coriobacteriaceae	0.0347	0.0703	0.0447	0.0127	0.0163	0.0453	0.0381	0.0592	0.0407	0.0406	0.0354	0.0419	0.105	0.0233	0.0368	0.00477	0.0283	0.00988	0.00601	0.00863	0.00736	0.0123	0.0266	0.0164	0.0139	0.0127	0.0097	0.0201	0.0108	0.0245	0.00572	0.00918
Geodermatophilaceae	0.0809	0.0137	0.0149	0.036	0.0135	0.0178	0.0183	0.0389	0.0204	0.0287	0.00769	0.016	0.0741	0.0175	0.0368	0.0453	0.0448	0.0321	0.138	0.0403	0.127	0.0543	0.0922	0.0492	0.199	0.0911	0.165	0.0785	0.104	0.0644	0.0248	0.0459
Aeromonadaceae	2.66	6.62	3.94	1.55	3.52	1.91	2.23	3.09	4.57	8.15	3.32	3.07	1.99	3.8	1.87	8.43	8.12	7.96	3.95	8.88	4.78	6.74	3.72	5.33	2.01	3.43	8	3.79	4.07	4.84	1.16	2.12
Methylocystaceae	0.892	0.578	0.771	1.97	0.401	0.342	0.644	0.93	0.217	0.791	0.644	0.451	0.369	1.11	0.747	1.83	0.33	0.331	0.603	0.371	0.361	1.09	0.375	0.586	0.338	1.77	0.353	1.12	0.693	0.754	1.17	0.0735
Streptosporangiaceae	0.0385	0.024	0.0298	0.0466	0.00271	0.0534	0.0275	0.00623	0.0271	0.0203	0.0215	0.018	0.215	0.032	0.0175	0.00477	0.00942	0	0.012	0.00288	0.0202	0.0321	0.00614	0.00728	0.0278	0.00728	0.0155	0.0242	0.0108	0.00613	0.00381	0.00306
Methylophilaceae	0.112	0.0737	0.0873	0.296	0.179	0.0567	0.0717	0.095	0.0509	0.0406	0.0507	0.0939	0.105	0.122	0.064	0.112	0.0518	0.0222	0.116	0.092	0.0773	0.128	0.0737	0.14	0.216	0.0874	0.146	0.163	0.079	0.0858	0.0496	0.0306
Micrococcaceae	0.0694	0.096	0.0852	0.0571	0.0325	0.1	0.0534	0.081	0.0695	0.0794	0.0676	0.0499	0.132	0.0728	0.0698	0.081	0.0565	0.0889	0.126	0.0834	0.164	0.079	0.119	0.12	0.16	0.12	0.101	0.157	0.19	0.162	0.0515	0.0765
Cellulomonadaceae	0.0752	0.0566	0.0213	0.0846	0.257	0.206	0.0976	0.176	0.0356	0.0321	0.0646	0.0799	0.168	0.0553	0.062	0.0572	0.0589	0.0914	0.186	0.115	0.125	0.0839	0.0942	0.0947	0.262	0.231	0.132	0.101	0.233	0.0858	0.0572	0.122
Labilitrichaceae	0.00578	0.00343	0.00639	0.0169	0.00813	0.00486	0.00305	0.00156	0.0017	0.00676	0.0154	0.00399	0.00723	0.00291	0.00194	0.00715	0.0165	0.0124	0.016	0.00288	0.00368	0.00987	0.0246	0.0127	0.0324	0.0109	0.0233	0.0262	0.0431	0.00613	0.00953	0.0122
Bacteroidaceae	0	0.00172	0.00213	0	0	0	0.00153	0	0	0.00338	0	0	0	0	0	0.0167	0	0.00247	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0
Bacillales_Incertae_Sedis_XII	0.102	1.5	0.673	0.184	1.96	0.41	2.08	0.819	0.65	0.345	0.192	0.461	3.29	0.501	0.586	0.191	0.212	0.138	0.0861	0.224	0.162	0.109	0.205	0.0983	0.051	0.138	0.097	0.141	0.133	0.0552	0.0858	0.0551
Chromatiaceae	0.0347	0.17	0.381	0.0381	0.431	0.0696	0.0808	0.274	0.0644	0.0693	0.043	0.132	0.0452	0.067	0.0989	0.0143	0.0966	0.0395	0.0821	0.0374	0.0221	0.0296	0.0901	0.071	0.0116	0.0455	0.0796	0.0443	0.284	0.049	0.0496	0.0276
Clostridiales_Incertae_Sedis_XVIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307	0	0
Nitrosomonadaceae	0.00193	0.00343	0.00426	0.00423	0.00271	0.00162	0.00153	0	0.00509	0.00169	0.00307	0.00599	0	0.00291	0.00388	0	0	0	0	0	0	0	0.00205	0	0	0	0	0	0	0	0	0
Iamiaceae	0.0385	0.0274	0.0341	0.0381	0.019	0.0194	0.0153	0.0296	0.0305	0.0558	0.0169	0.036	0.0379	0.0349	0.0252	0.0167	0.0259	0.0346	0.0741	0.0173	0.0626	0.0642	0.0717	0.0528	0.0742	0.031	0.0776	0.0362	0.097	0.0582	0.0229	0.0429
Saprospiraceae	0	0.0394	0.0255	0.0127	0.0352	0.0113	0.00763	0	0.017	0.00676	0.0154	0.018	0.00542	0.00873	0.00969	0.00715	0.0141	0.00988	0.014	0	0.0239	0.0173	0.0614	0.0109	0.0255	0.00911	0.0194	0.0101	0.0144	0.0092	0.0153	0.0122
Holophagaceae	0.156	0.156	0.155	0.133	0.0867	0.159	0.0778	0.081	0.132	0.0997	0.128	0.164	0.143	0.099	0.138	0.05	0.0377	0.0494	0.102	0.0777	0.046	0.0469	0.0963	0.0346	0.104	0.126	0.0349	0.0403	0.108	0.0674	0.0381	0.0367
Rhodobiaceae	0.0116	0.00515	0.0106	0.0106	0.00271	0.013	0.0107	0.00935	0.00678	0.022	0.00769	0.00999	0.0126	0.0175	0.00582	0.0405	0.0188	0.0173	0.046	0.0345	0.0294	0.0197	0.0758	0.0273	0.0603	0.0127	0.0582	0.0423	0.0647	0.0736	0.00572	0.0245
Cytophagaceae	0	0.00172	0.00639	0.00423	0.00542	0.00162	0.00153	0.00779	0.00339	0.00169	0.00461	0.00799	0.00181	0	0	0.00715	0.00236	0.00741	0.00601	0.0115	0.0147	0.00494	0	0.00728	0.00695	0.0109	0.00388	0.00403	0.00718	0.00307	0.00381	0.00306
Rhizobiales_incertae_sedis	0.0732	0.209	0.117	0.212	0.414	0.0761	0.252	0.315	0.259	0.0625	0.195	0.393	0.244	0.282	0.363	0.0596	0.0471	0.0445	0.114	0.0805	0.129	0.0518	0.182	0.0947	0.222	0.228	0.256	0.103	0.248	0.046	0.208	0.0367
Clostridiales_Incertae_Sedis_XIII	0.0154	0.0172	0.0106	0.00846	0.00813	0.00162	0.00458	0.014	0.0136	0.00676	0.00461	0.014	0.00542	0.00873	0.00582	0.0477	0.0612	0.0692	0.018	0.0374	0.0258	0.0074	0.0307	0.0382	0.0579	0.0583	0.031	0.0201	0.0503	0.0398	0.0248	0.0306
Hyphomonadaceae	0.0154	0.0257	0.0213	0.0635	0.0488	0.0211	0.0229	0.0202	0.0526	0.0203	0.0246	0.034	0.0289	0.032	0.0271	0.0357	0.0448	0.0173	0.038	0.0259	0.0276	0.0444	0.107	0.0455	0.146	0.0346	0.0466	0.0383	0.0575	0.0337	0.0477	0.0367
Sneathiellaceae	0.0308	0.012	0.017	0.0254	0.0163	0.0211	0.0305	0.0249	0.0187	0.0253	0.0338	0.018	0.0271	0.0146	0.00582	0.00953	0.0283	0.0148	0.038	0.0374	0.0166	0.0395	0.0266	0.0109	0.0834	0.0328	0.0213	0.0161	0.0144	0.0092	0.0191	0.00918
Anaerolineaceae	0	0.00172	0.00213	0	0	0	0	0.00312	0.0017	0.00676	0	0.002	0	0.00291	0	0.00238	0	0	0	0	0	0	0	0	0	0	0.00194	0	0.00718	0	0	0
Alicyclobacillaceae	0.0116	0.00515	0.0106	0.00212	0.00542	0.0211	0.0061	0.0171	0.00678	0.027	0.00461	0.00399	0.0126	0.00873	0	0.0167	0.0141	0.00494	0.00601	0.00575	0.00368	0.0074	0.00819	0.0255	0.0232	0.00911	0.00776	0.00403	0.0144	0.0613	0	0.0122
Acidimicrobineae_incertae_sedis	0.00385	0.0154	0.017	0.0127	0.0488	0	0.00763	0.00779	0.0204	0.00169	0.0138	0.016	0.00181	0.00291	0.00388	0.00477	0.0118	0.00494	0.01	0.00575	0.011	0.00494	0.0533	0.0127	0.0116	0.031	0.0116	0.00604	0.0216	0	0.0133	0.0122
Leptospiraceae	0.119	0.165	0.23	0.245	0.135	0.141	0.207	0.265	0.212	0.318	0.409	0.316	0.322	0.279	0.384	0.105	0.252	0.385	0.268	0.253	0.116	0.141	0.36	0.2	0.241	0.249	0.192	0.23	0.259	0.405	0.355	0.511
Paenibacillaceae_2	0.00193	0	0.00426	0	0	0.00324	0	0.00156	0.00339	0.00507	0.00154	0.00399	0.00361	0.00291	0.00388	0.0214	0.00707	0.00247	0.028	0.0173	0.011	0.00247	0	0.00546	0.00232	0.00182	0.00388	0.0403	0.00359	0.0153	0.00763	0.00612
Xanthobacteraceae	0.00385	0.00686	0	0.0127	0.0163	0.013	0.0259	0.0327	0.00678	0.0101	0.00307	0.0759	0.0163	0.00582	0	0.0143	0.00471	0.00247	0.004	0.00288	0.0681	0.0716	0.0143	0.02	0.00464	0.00911	0.0388	0.0201	0.0144	0.0123	0.00191	0
Propionibacteriaceae	0.00385	0	0	0.00212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.00184	0	0.00205	0	0.00232	0.00182	0	0	0	0	0	0
Aurantimonadaceae	0	0	0.0277	0.00212	0.00542	0	0.00305	0.00156	0.00339	0	0.00154	0.00399	0.0163	0	0.00194	0	0.00471	0	0.002	0	0.0092	0	0.00205	0.00182	0	0.0109	0.0097	0	0	0	0	0.00306
Alcaligenaceae	0	0.00515	0.00426	0.00635	0.171	0.11	0	0.00156	0	0	0	0	0.0163	0.00873	0	0.00477	0.00236	0.00247	0.004	0.0316	0.0313	0	0.0102	0	0	0.00364	0.00388	0.00201	0	0.00307	0.00191	0
Thermoactinomycetaceae_2	0.0116	0	0.00213	0.00212	0.00271	0	0	0.181	0.0254	0.00845	0	0.026	0.0163	0.00291	0.00582	0.00715	0.00236	0	0.002	0.00288	0.00184	0.00247	0.00819	0.00182	0.00464	0.00182	0.00582	0	0	0.00307	0	0
Nocardiaceae	0.00578	0.00172	0	0.00635	0.00542	0.00162	0.00153	0.00467	0	0	0.00154	0.002	0.00181	0.00582	0	0	0.00236	0.00247	0.002	0	0	0	0.00614	0.00182	0.00232	0.00364	0	0	0.00359	0	0.00191	0
Kineosporiaceae	0.0443	0.0154	0.0149	0.0402	0.00813	0.0081	0.0229	0.00935	0.00848	0.00676	0.0138	0.012	0.0398	0.0116	0.0116	0.0763	0.0141	0.00741	0.014	0.0259	0.0994	0.0074	0.0205	0.0127	0.0139	0.153	0.031	0.0221	0.0611	0.0184	0.0324	0.0214
Heliobacteriaceae	0.00385	0.00172	0	0	0	0.0162	0	0.00156	0.00339	0	0.00154	0.00999	0.00181	0.00291	0	0	0	0	0.004	0	0	0	0.00205	0	0	0	0	0	0	0	0	0
Oligoflexaceae	0.0385	0.629	0.189	0.125	0.116	0.0761	0.104	0.0592	0.137	0.135	0.327	0.208	0.0705	0.195	0.322	0.00477	0.033	0.0148	0.012	0.0115	0.0184	0.0074	0.0471	0.0109	0.0185	0.00911	0.0155	0.0302	0.0647	0.00307	0.0114	0.0306
Deinococcaceae	0	0.0103	0.0149	0.00212	0.00813	0.0486	0.0153	0.0265	0.0102	0.00507	0.0138	0.028	0.0795	0	0.0213	0	0.00942	0.00247	0.00801	0.00863	0.00736	0.00247	0.0205	0.00728	0.00232	0.00546	0.0097	0.00403	0.00359	0.00307	0.00191	0.00612
Herpetosiphonaceae	0.00193	0.168	0.0532	0.121	0.347	0.0421	0.0747	0.0358	0.095	0.0558	0.0184	0.0599	0.0614	0.032	0.064	0.0524	0.0518	0.0445	0.0741	0.0316	0.0423	0.0197	0.113	0.0382	0.134	0.117	0.0951	0.0544	0.151	0.0123	0.103	0.104
Chloroplast	0	0.00343	0.0192	0.00212	0.0217	0.00162	0.0061	0.00623	0.00509	0	0.00922	0.00399	0.00542	0.00291	0.00194	0	0	0	0	0	0.00184	0	0	0	0	0	0	0	0.00359	0	0.00191	0.00306
Clostridiaceae_4	0.00771	0.0103	0.0213	0.00635	0.0108	0.00486	0.00305	0	0.00848	0.00338	0.00769	0.012	0.00723	0.0116	0.00776	0	0	0	0	0	0	0	0.00205	0	0.00232	0.0109	0	0.00403	0	0	0	0
Family_I	0	0	0.00213	0.0148	0	0	0	0.00312	0.00339	0	0.00461	0.002	0.00181	0.00291	0.00194	0	0.00236	0	0	0	0	0	0.00205	0	0	0	0	0	0	0	0	0
Cryomorphaceae	0	0.00515	0.00639	0.00423	0.019	0.00162	0.0061	0.00156	0.00339	0.00338	0.00307	0.00399	0.00361	0	0.00776	0.00238	0.0118	0.00247	0.018	0.00863	0.0166	0.00247	0.0553	0.0109	0.0324	0.0109	0.00582	0.00403	0.0287	0.00307	0.0267	0.0276
Syntrophorhabdaceae	0.00771	0.00172	0.00213	0.00635	0	0.00162	0.00153	0.00156	0.00509	0.0101	0.00615	0.00999	0.0108	0.00582	0.00776	0.00477	0	0.00741	0.03	0.00575	0.0092	0.0123	0.0184	0.0109	0.0162	0.00546	0.0136	0.00201	0.0108	0.0215	0.00381	0.0153
Demequinaceae	0.00193	0.0189	0.0383	0.0169	0.122	0.0356	0.0198	0.0187	0.0373	0.00676	0.06	0.016	0.123	0.00873	0.0465	0.00715	0.0495	0.0222	0	0.00863	0.12	0.0173	0.141	0.00364	0.00695	0.319	0.0291	0.0121	0.136	0.0123	0.0248	0.0337
Promicromonosporaceae	0.00385	0.00858	0.00213	0	0	0	0.00153	0.00156	0.0017	0.00169	0	0.002	0.00181	0	0.00194	0.00477	0.00471	0.00494	0.016	0	0.00184	0.00987	0.00614	0.00728	0.0139	0.00728	0	0.00201	0.00718	0	0	0
Marinilabiliaceae	0.0385	0.0789	0.168	0.127	0.0894	0.0453	0.116	0.0607	0.0339	0.0608	0.0661	0.14	0.0976	0.0932	0.126	0.0119	0.0259	0.0395	0.014	0.00575	0.0294	0.0197	0.0246	0.0564	0.0371	0.0419	0.0175	0.0221	0.0287	0.0398	0.0172	0.0674
Rubrobacteraceae	0.0135	0.00686	0.00426	0.00423	0.00542	0.013	0.00915	0.0109	0.00509	0.0152	0.0108	0.002	0.00904	0.00873	0.00194	0.00238	0.00236	0	0	0.00575	0.00552	0.00247	0	0.00182	0.00695	0	0.00388	0.00805	0.00718	0.00613	0	0.00306
Family_V	0	0.0103	0.0192	0.00212	0.019	0.00486	0.00458	0.00935	0.00678	0	0.0123	0.012	0	0.00582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanellaceae	0.00578	0.0223	0.0149	0	0	0.00162	0	0.00312	0.0017	0	0	0.002	0	0.00291	0	0.00953	0.00236	0.00988	0.046	0.0173	0.0092	0.00494	0.00205	0	0.00464	0.00364	0.00776	0.00805	0.0144	0.00613	0	0.0184
Moraxellaceae	0	0.00858	0.00213	0	0	0	0.00153	0	0	0	0.00154	0	0.00181	0.00291	0	0.00238	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0.00307	0	0
Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00477	0	0	0.002	0	0	0	0.00205	0.00182	0	0	0	0	0	0	0	0
Eubacteriaceae	0	0	0.00852	0	0	0	0	0.00312	0.0017	0	0	0	0	0	0.00194	0.0143	0.0236	0.00988	0.004	0.0115	0.0202	0.00247	0.00205	0.0473	0.00464	0.00546	0.00776	0.0101	0.00359	0.0092	0.00191	0.00306
Hydrogenophilaceae	0.00385	0.00515	0	0.00212	0	0	0.00153	0	0.0119	0.00169	0	0	0.00361	0.00582	0.00194	0	0.0212	0.0198	0.022	0.00575	0.0129	0.00987	0.0328	0.0109	0.0324	0.00728	0.0155	0.0282	0.0108	0.0184	0.00572	0.0122
Erysipelotrichaceae	0.00578	0	0.00213	0.0212	0	0.00486	0	0.00623	0.00848	0.00676	0.0123	0.00599	0.00181	0.00582	0.00776	0.0143	0.00707	0.0173	0.036	0.00863	0.0184	0.0444	0.0717	0.02	0.0858	0.0109	0.0834	0.0141	0.0611	0.046	0.00953	0.0122
Desulfomicrobiaceae	0.00193	0.0189	0.0426	0.00846	0.00542	0.013	0.00458	0.0109	0.00509	0.0118	0.00461	0.02	0.00723	0.00582	0.0175	0.00477	0.00471	0.00988	0.002	0.00288	0.0092	0	0.0041	0.00182	0.114	0.00182	0.00388	0.00403	0.00359	0	0	0
Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0.00988	0.002	0.0115	0.00736	0	0.00819	0	0.00232	0	0.00582	0.00403	0	0.00613	0.00381	0.00306
Fusobacteriaceae	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0.0143	0.00707	0.0346	0.002	0.00863	0.0239	0.00247	0.00205	0	0	0.00728	0.0233	0.0262	0.0108	0.0215	0.0133	0.239
Leptotrichiaceae	0.00964	0.00858	0.00639	0.00423	0.0163	0	0	0.00156	0.0204	0.0186	0.0231	0.022	0.00181	0.0262	0.00582	0.126	0.212	0.235	0.012	0.0316	0.158	0.037	0.0594	0.02	0.044	0.0801	0.179	0.0564	0.0539	0.175	0.0477	0.052
Thermaceae	0	0.0789	0.0639	0.0296	0.1	0.034	0.0229	0.00467	0.0543	0.00676	0.0446	0.0919	0.00723	0.0291	0.0465	0.00238	0	0	0	0	0.00184	0	0	0	0.00232	0	0	0.00201	0.00359	0	0.00191	0.00306
