Paenibacillaceae_1	Ruminococcaceae	Rhodocyclaceae	Clostridiaceae_1	Sphingomonadaceae	Lachnospiraceae	Rhodospirillaceae	Planctomycetaceae	Syntrophobacteraceae	Flavobacteriaceae	Comamonadaceae	Oxalobacteraceae	Ignavibacteriaceae	Hyphomicrobiaceae	Geobacteraceae	Xanthomonadaceae	Bacillaceae_1	Caldilineaceae	Rhizobiaceae	Rhodobacteraceae	Nitrospiraceae	Methylococcaceae	Nocardioidaceae	Micromonosporaceae	Enterobacteriaceae	Spirochaetaceae	Caulobacteraceae	Burkholderiales_incertae_sedis	Cystobacteraceae	Acetobacteraceae	Microbacteriaceae	Parachlamydiaceae	Porphyromonadaceae	Bdellovibrionaceae	Sinobacteraceae	Bacteriovoracaceae	Pseudomonadaceae	Neisseriaceae	Planococcaceae	Methylobacteriaceae	Chitinophagaceae	Desulfovibrionaceae	Opitutaceae	Prolixibacteraceae	Polyangiaceae	Gaiellaceae	Gracilibacteraceae	Desulfobulbaceae	Oscillochloridaceae	Desulfobacteraceae	Solirubrobacteraceae	Intrasporangiaceae	Streptomycetaceae	Clostridiales_Incertae_Sedis_XII	Phyllobacteriaceae	Desulfuromonadaceae	Verrucomicrobiaceae	Haliangiaceae	Clostridiales_Incertae_Sedis_XI	Syntrophaceae	Gallionellaceae	Peptostreptococcaceae	Conexibacteraceae	Thermomonosporaceae	Acidimicrobiaceae	Burkholderiaceae	Nannocystaceae	Gemmatimonadaceae	Rhodothermaceae	Myxococcaceae	Sphingobacteriaceae	Veillonellaceae	Pseudonocardiaceae	Mycobacteriaceae	Erythrobacteraceae	Thermoactinomycetaceae_1	Bradyrhizobiaceae	Sandaracinaceae	Coriobacteriaceae	Geodermatophilaceae	Aeromonadaceae	Methylocystaceae	Streptosporangiaceae	Methylophilaceae	Micrococcaceae	Cellulomonadaceae	Labilitrichaceae	Bacteroidaceae	Bacillales_Incertae_Sedis_XII	Chromatiaceae	Clostridiales_Incertae_Sedis_XVIII	Nitrosomonadaceae	Iamiaceae	Saprospiraceae	Holophagaceae	Rhodobiaceae	Cytophagaceae	Rhizobiales_incertae_sedis	Clostridiales_Incertae_Sedis_XIII	Hyphomonadaceae	Sneathiellaceae	Anaerolineaceae	Alicyclobacillaceae	Acidimicrobineae_incertae_sedis	Leptospiraceae	Paenibacillaceae_2	Xanthobacteraceae	Propionibacteriaceae	Aurantimonadaceae	Alcaligenaceae	Thermoactinomycetaceae_2	Nocardiaceae	Kineosporiaceae	Heliobacteriaceae	Oligoflexaceae	Deinococcaceae	Herpetosiphonaceae	Chloroplast	Clostridiaceae_4	Family_I	Cryomorphaceae	Syntrophorhabdaceae	Demequinaceae	Promicromonosporaceae	Marinilabiliaceae	Rubrobacteraceae	Family_V	Shewanellaceae	Moraxellaceae	Campylobacteraceae	Eubacteriaceae	Hydrogenophilaceae	Erysipelotrichaceae	Desulfomicrobiaceae	Glycomycetaceae	Fusobacteriaceae	Leptotrichiaceae	Thermaceae
Comamonadaceae	0.64733597397856	0.98994079221508	0.516172166714112	0.000593946698855816	0.538019228042041	0.000268620407929095	0.286953559887507	0.0573762823233761	0.205189485223449	0.515881390342617	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Oxalobacteraceae	0.847710146560392	0.810636391235877	0.8331568608109	0.0461966122344595	0.352646272769063	0.0166211239677216	0.246913621665264	0.570426336576707	0.781030792827895	0.109148930473577	0.146089094096283	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0633477178101946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ignavibacteriaceae	0.00738769012873105	0.0653828574382431	0.871079799839468	0.152825412930805	0.127959314687338	0.238688600344674	0.58218996037474	0.249779836929407	9.01537470339513e-06	0.217227525052073	0.861996283143853	0.91760742475546	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hyphomicrobiaceae	0.288913539639421	0.311056922720774	0.547582655208769	0.0691718419420499	1.19490508853685e-05	0.0409633303536501	0.664226688475481	0.0952203548437876	0.829474476699873	0.860872635366538	0.563305955109323	0.0158508743801421	0.974194828192662	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Geobacteraceae	0.000786485937865947	0.469834565203425	0.544853318708038	0.00171352780129293	0.31811529719566	0.00752883714132237	0.563881858532589	0.231079923197885	0.0960567739660276	0.00983593193775052	0.234179282991261	0.037675265107475	0.0462454694941647	0.558216781172098	0	1	1	1	1	1	0.04185860218946	1	1	1	1	0.0350889873753866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.144765723982959	1	1	1	1	1	0.113250461378911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00270030613597281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.516761342924274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Xanthomonadaceae	0.120445089983426	0.879126571243203	0.539122945897269	0.3134299113242	0.000163067673639376	0.953581752033685	0.105682001240174	0.0151401625405835	0.686261497241301	0.441352847568149	0.419701998622835	0.504934297450469	0.916136539487503	0.000320254836315853	0.171767705151882	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacillaceae_1	0.933548308536109	0.0665975711639641	0.497061751239365	0.0112861925046482	0.0953984858989932	0.048478300917352	0.216522286471865	0.34453796885717	0.952065940963663	0.181082166819482	0.113853545471736	0.439161778230162	0.554790527737248	0.0123133060970993	0.766443581662511	0.401398976091852	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Caldilineaceae	0.0577961788157634	0.0683849209842999	0.902179636502642	0.409814906225157	0.768670120760098	0.620891035654314	0.520351183819346	0.783525347350964	0.051965955055623	0.547832387335052	0.619684326670397	0.948440559974406	0.0189972798989478	0.711366472463682	0.514877311521034	0.761236060544593	0.554264179933285	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rhizobiaceae	0.544533669086419	0.386272605639596	0.512037317019519	0.570565717034978	1.42814120784674e-05	0.798762317536054	0.983181738631522	0.0291806352356652	0.571601859532741	0.849680486273657	0.119860242186111	0.846462672857407	0.395796542003491	0.00315186133888767	0.638846546174622	0.000509957827787091	0.317328872444268	0.74389193071468	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rhodobacteraceae	0.84941656017703	0.913995053241217	0.770263139218599	0.00543844798114234	0.000261253682949624	0.0441061275855076	0.0231461096623372	5.83061544210659e-07	0.171234661988929	0.230041885874622	0.0008258714153345	0.283572081900598	0.180987043396724	0.177937915534165	0.0382157963111367	0.00302750513327162	0.825315394900406	0.572204195685738	0.0169704241399186	0	1	1	1	0.160421566759239	1	1	1	1	1	0.283893388030937	1	1	1	1	1	1	1	1	1	1	1	0.233227285055013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.88119137263427e-07	1	1	1	1	1	1	0.559659205348294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.90037884039209e-08	1	1	1	1	1	0.00375590182424508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.11487865453056	1	1	1	1
