Paenibacillaceae_1	Ruminococcaceae	Rhodocyclaceae	Clostridiaceae_1	Sphingomonadaceae	Lachnospiraceae	Rhodospirillaceae	Planctomycetaceae	Syntrophobacteraceae	Flavobacteriaceae	Comamonadaceae	Oxalobacteraceae	Ignavibacteriaceae	Hyphomicrobiaceae	Geobacteraceae	Xanthomonadaceae	Bacillaceae_1	Caldilineaceae	Rhizobiaceae	Rhodobacteraceae	Nitrospiraceae	Methylococcaceae	Nocardioidaceae	Micromonosporaceae	Enterobacteriaceae	Spirochaetaceae	Caulobacteraceae	Burkholderiales_incertae_sedis	Cystobacteraceae	Acetobacteraceae	Microbacteriaceae	Parachlamydiaceae	Porphyromonadaceae	Bdellovibrionaceae	Sinobacteraceae	Bacteriovoracaceae	Pseudomonadaceae	Neisseriaceae	Planococcaceae	Methylobacteriaceae	Chitinophagaceae	Desulfovibrionaceae	Opitutaceae	Prolixibacteraceae	Polyangiaceae	Gaiellaceae	Gracilibacteraceae	Desulfobulbaceae	Oscillochloridaceae	Desulfobacteraceae	Solirubrobacteraceae	Intrasporangiaceae	Streptomycetaceae	Clostridiales_Incertae_Sedis_XII	Phyllobacteriaceae	Desulfuromonadaceae	Verrucomicrobiaceae	Haliangiaceae	Clostridiales_Incertae_Sedis_XI	Syntrophaceae	Gallionellaceae	Peptostreptococcaceae	Conexibacteraceae	Thermomonosporaceae	Acidimicrobiaceae	Burkholderiaceae	Nannocystaceae	Gemmatimonadaceae	Rhodothermaceae	Myxococcaceae	Sphingobacteriaceae	Veillonellaceae	Pseudonocardiaceae	Mycobacteriaceae	Erythrobacteraceae	Thermoactinomycetaceae_1	Bradyrhizobiaceae	Sandaracinaceae	Coriobacteriaceae	Geodermatophilaceae	Aeromonadaceae	Methylocystaceae	Streptosporangiaceae	Methylophilaceae	Micrococcaceae	Cellulomonadaceae	Labilitrichaceae	Bacteroidaceae	Bacillales_Incertae_Sedis_XII	Chromatiaceae	Clostridiales_Incertae_Sedis_XVIII	Nitrosomonadaceae	Iamiaceae	Saprospiraceae	Holophagaceae	Rhodobiaceae	Cytophagaceae	Rhizobiales_incertae_sedis	Clostridiales_Incertae_Sedis_XIII	Hyphomonadaceae	Sneathiellaceae	Anaerolineaceae	Alicyclobacillaceae	Acidimicrobineae_incertae_sedis	Leptospiraceae	Paenibacillaceae_2	Xanthobacteraceae	Propionibacteriaceae	Aurantimonadaceae	Alcaligenaceae	Thermoactinomycetaceae_2	Nocardiaceae	Kineosporiaceae	Heliobacteriaceae	Oligoflexaceae	Deinococcaceae	Herpetosiphonaceae	Chloroplast	Clostridiaceae_4	Family_I	Cryomorphaceae	Syntrophorhabdaceae	Demequinaceae	Promicromonosporaceae	Marinilabiliaceae	Rubrobacteraceae	Family_V	Shewanellaceae	Moraxellaceae	Campylobacteraceae	Eubacteriaceae	Hydrogenophilaceae	Erysipelotrichaceae	Desulfomicrobiaceae	Glycomycetaceae	Fusobacteriaceae	Leptotrichiaceae	Thermaceae
Comamonadaceae	0.486677925308285	0.758657928326034	0.792656987189386	0.000165436614520603	0.0416380155753889	0.000666606987375813	0.218590784837093	0.0186230948672001	0.0337131402945954	0.0831841099608695	0	1	1	1	1	1	1	1	0.0838037634338674	5.23726260326546e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.175039817176221	1	1	1	1	1	1	1	1	1	0.609377292616024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0311680236507165	1	1	1	0.741762955090222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.697727080692266	1	1	0.296924923218502	1	1	1	1	1	0.364673327870427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.591577781529934	1	1	1	1	1	1	1	1	0.435602995558442	1	1	1	1	1	1	1	1	1	1	0.0756359730041825
Oxalobacteraceae	0.854420876543913	0.791199043382008	0.896308931867344	0.0724677624366396	0.0669860622017974	0.0943552501162948	0.0998656307531222	0.0526951263616603	0.570684439566376	0.53087544030126	0.00232935516771971	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ignavibacteriaceae	0.00286512414703339	0.0314689056879519	0.0797451128304075	0.288493485042514	0.504603936611704	0.219847399823705	0.811531300229753	0.992091678609879	1.61352413954715e-05	0.303986068272084	0.00496026943979648	0.470708193075512	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.215592084376332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0782165868221449	1	1	1	1	0.0728387862500104	1	1	1	1	1	0.0439176457170952	1	1	1	1	1	1	1	1	1	1	1	1	0.029368558059535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hyphomicrobiaceae	0.387577287725593	0.977550114144175	0.534709152370751	0.0750897674448495	0.442252704861581	0.0373182465530173	0.805628640283754	0.503492524683608	0.04888449824678	0.00653206417466913	0.0393848718288561	0.374643632019053	0.00539716786522	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Geobacteraceae	0.00175883991351203	0.914934433643797	0.751764063890503	0.0129800530537956	0.931103552980207	0.0100537707367992	0.332826547732797	0.445449599077501	0.88354235402625	0.379801214360112	0.278833934924346	0.00290802537946592	0.720605901214257	0.219072061621239	0	1	1	1	1	1	0.0164808714044679	1	1	1	1	1	1	1	0.189827956150017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.868381831335634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Xanthomonadaceae	0.243953923169107	0.315940499057654	0.740721262111227	0.105348709828672	0.019923721254282	0.234745218177018	0.143832811784286	0.00688282502372579	0.523131047624513	0.562768733858253	0.000165407079249231	0.011443858913297	0.201839211126996	0.485078536389267	0.900500038752807	0	1	1	0.221483482378915	0.000207580696724796	1	1	1	1	1	1	1	1	1	0.543763980387781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.37405917380479	1	1	0.00256262176681494	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0058488146057409	1	1	1	1	1	0.209226608490248	1	1	1	1	1	1	1	1	1	1	1	1	0.0063009186157766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.871570333600117
Bacillaceae_1	0.820172341424138	0.71587370064478	0.346112357120621	0.235813802064984	0.87604924936672	0.218499192493043	0.589388913025281	0.606045953993724	0.0792453918993991	0.688946134732627	0.00422772420661992	0.289144479930391	0.0393997944692566	0.00954388702324098	0.515429140121262	0.390582643049115	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00213522818600139	1	1	1	1	1	1	1	1	1	0.00342752511543778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Caldilineaceae	0.809424717556848	0.0451290697241105	0.22493490476469	0.0273912782137441	0.401619176350935	0.0162663311216144	0.313345603348299	0.329390182967492	0.000124632924837918	0.09263500813206	0.00956259848817451	0.300867330985109	0.00151704755989267	0.0333158120771652	0.490674799734983	0.250886469477386	0.047956097119288	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.147889743532273	1	1	1	1	1	1	1	1	1	1	0.410449700131749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.124183203268622	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rhizobiaceae	0.725743849091983	0.962049789504479	0.491656202857602	0.0144055895936075	0.0404536629382461	0.023056024949022	0.0290508179036035	0.157673726034198	0.397345865271221	0.786128198294378	8.96872468256286e-06	0.00913445292823063	0.0808783666116887	0.831656147183091	0.314245691971553	2.37872927052856e-05	0.00499977544531756	0.0262358693216018	0	0.0499874562756521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.166245475387886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0715199587355342	1	1	1	1	1	1	1	1	0.000304423126642712	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.358210318269279	1	1	1	1	1	1	1	1	0.463346353944432	1	1	1	1	1	1	1	1	1	1	0.141145924454488
Rhodobacteraceae	0.691408080390709	0.956303257345045	0.85210754308104	0.00070453139745223	0.0189813085087194	0.00186236896666036	0.0728109029848743	0.00710161290257425	0.130024233031494	0.153841353573577	5.54618511412206e-09	0.00083560898275606	0.0118490631015308	0.260256170794279	0.167416665570684	2.20057984442697e-08	0.165354947601612	0.00947341337196217	5.33996969080783e-06	0	1	1	1	0.167682648589887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.820896578146348	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.160219994157703	1	1	1	0.005532109960258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00396425840687637	1	1	1	1	1	7.53838737368793e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.628628668740056	1	1	1	1	1	1	1	1	1	1	0.000737810475622271
